蚵 oyster
蛾 moth
訛 error
鋨 osmium
額 volume
鵝 goose
惡 nauseated
厄 distressed
呃 hiccough
咢 beat
噩 startling
堊 to
堨 dam
堮 a
崿 cliff
嶭 elevated
惡 evil
愕 startled
扼 position)
搤 position)
枙 tree
萼 calyx
詻 harsh
諤 honest
軛 restrain
遏 to
鄂 province
鍔 blade
閼 shut
阨 defile
頞 junction
顎 jaw
餓 to
餩 hiccup
鱷 crocodile
鶚 fish
齶 palate
嗯 groaning
恩 above)
蒽 anthracene
摁 finger)
兒 son
唲 forced
栭 tree
洏 water
而 and
耏 surname
胹 overcooked
輀 hearse
陑 place
鮞 caviar
鴯 emu
尒 thou
洱 name
爾 thus
珥 pearl
耳 ear
薾 luxuriant
邇 near
鉺 erbium
餌 bait
駬 horse
二 two
佴 assistant
刵 ears
咡 between
樲 variety
衈 sacrificial
貳 two
兒 nonsyllabic
沷 remove
發 send
乏 short
伐 down
筏 logs)
罰 to
茷 denseness
閥 clique
法 law
琺 enamel
髮 hair
帆 sail
幡 banner
旛 pennant
番 acts)
籓 winnow
繙 translate
翻 flit
凡 ordinary
墦 a
樊 surname
煩 feel
燔 burn
璠 gem
礬 alum
笲 basket
籵 dm
繁 complicated
膰 cooked
蕃 flourishing
蘩 Artemisia
蠜 cyrtophyllus
蹯 paws
釩 vanadium
鐇 vanadium
颿 sail
鷭 waterhen
反 wrong
返 return
魬 sole
梵 Brahma
氾 extensive
汎 broad
泛 float
犯 to
畈 field
笵 bamboo
範 model
范 pattern
販 deal
飯 food
匚 box
坊 subdivision
方 square
枋 Santalum
淓 name
芳 fragrant
邡 district
鈁 francium
妨 hinder
房 house
肪 animal
防 to
魴 bream
仿 to
倣 imitate
彷 seemingly
昉 dawn
紡 spin
舫 lashed
訪 inquire
髣 seemingly
放 to
啡 coffee
妃 imperial
扉 door
緋 dark
菲 rich
霏 fall
非 non
飛 to
馡 fragrant
騑 yellow
鯡 herring
淝 name
肥 loosefitting
腓 calf
匪 bandit
奜 big
悱 cannot
斐 phonetic
朏 crescent
棐 Torreya
榧 Torreya
篚 covered
翡 green
蜚 gadfly
誹 slander
吠 to
屝 coarse
廢 abolish
怫 anger
沸 boil
狒 hamadryad
疿 prickly
痱 prickly
癈 terminate
砩 water
肺 lung
芾 small
費 to
鐨 fermium
鐨 Fermium
兝 decigram
分 to
吩 leave
棻 perfume
氛 miasma
玢 porphyrites
紛 numerous
芬 fragrant
酚 phenol
雰 misty
鳻 wild
墳 a
幩 ornamental
枌 tree
棼 beams
汾 name
濆 edge
焚 burn
蕡 hemp
蚡 mole
豶 gelded
轒 war
魵 shrimp
鼖 large
鼢 mole
粉 dust
羵 spirit
份 newspaper)
僨 instigate
分 part
坋 dust
奮 exert
忿 vehement
憤 indignant
瀵 name
糞 manure
丰 buxom
封 to
峰 peak
崶 legendary
楓 maple
灃 name
烽 beacon
瘋 insane
葑 turnip
蜂 bee
豊 bountiful
豐 surname
酆 surname
鋒 point
風 wind
飌 wind
夆 animals)
渢 buoyant
縫 to
逢 every
馮 surname)
唪 recite
覂 throw
俸 salary
奉 superior)
